artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,mood_cluster
XXXTENTACION,7pdF27mSDuPWhppnHAmWHa,whoa (mind in awe),0.653,0.735,157777,0.525,0.918,6,0.1009999999999999,-2.939,0,0.0441,160.14700000000002,4,0.369,84,6
David Guetta,0tgbSxoFjZ20MjfoKwWevV,Your Love,0.0997,0.5710000000000001,185620,0.937,0.496,2,0.125,-2.682,0,0.0336,125.027,4,0.512,78,6
FISHER,6ho0GyrWZN3mhi9zVRW7xi,Losing It,0.00182,0.76,248036,0.964,0.7,2,0.0974,-5.843999999999999,1,0.0576,125.0,4,0.6409999999999999,77,6
Mike Posner,3SOp10shYtVHuZWxVGenUb,Move On,0.176,0.741,178400,0.6859999999999999,0.5529999999999999,2,0.439,-5.704,1,0.0361,102.027,4,0.418,76,6
Marshmello,2HO0uCyq8jOveEzvmo4JEu,Fly,0.0006389999999999,0.63,193778,0.9,0.852,4,0.203,-3.955,1,0.0387,134.988,4,0.155,75,6
Noisestorm,4qDHt2ClApBBzDAvhNGWFd,Crab Rave,0.206,0.768,161280,0.933,0.915,2,0.0833,-2.95,0,0.0385,124.996,4,0.245,74,6
Jay Hardway,5wlscxWc7OyrsE22xToo1N,EDM Bubble,0.0313,0.63,142503,0.8390000000000001,0.537,6,0.122,-3.971,0,0.0422,127.98,4,0.624,73,6
DJ Snake,4BiiDQtijdt0WdtiyIPhnO,Magenta Riddim,0.00041,0.604,194490,0.897,0.838,10,0.327,-3.678,0,0.0641,102.053,4,0.588,73,6
Marshmello,0e9yz3Fz7Nn6I5E4XBP8no,Sell Out,0.0125,0.605,192000,0.963,0.7879999999999999,3,0.434,0.634,0,0.0681,145.013,4,0.42,72,6
Dimitri Vegas & Like Mike,1F9xcExF9W7m5BxTdlJLED,Repeat After Me,0.00342,0.321,194261,0.939,0.81,6,0.0905,-4.86,0,0.0616,131.933,4,0.179,72,6
Marshmello,6GRMKQ3RrivYgLEO6h7ebu,Stars,0.0132,0.507,246761,0.96,0.971,8,0.0703,-2.619,1,0.0394,142.029,4,0.8009999999999999,72,6
Calvin Harris,0kDIirlQCy6YnmsK5pZ6PZ,I'm Not Alone - CamelPhat Remix,0.0105,0.575,244146,0.969,0.6829999999999999,1,0.118,-6.7410000000000005,0,0.0425,122.998,3,0.0368,71,6
Deorro,3On0xk67ckVLs1qEpTF8mY,Bring It Back,0.0016699999999999,0.762,165000,0.904,0.841,5,0.436,-4.064,1,0.0862,127.962,4,0.518,71,6
Marshmello,6kwH41LJ6hfxlGn2c4oh6Y,Together,0.00114,0.5670000000000001,246761,0.703,0.921,10,0.1009999999999999,-2.08,0,0.0311,142.019,4,0.309,71,6
Disclosure,4vgXDV9qcqnwMQkdyGLSpL,Where Angels Fear To Tread,0.23,0.679,225907,0.735,0.602,2,0.148,-6.218,0,0.136,107.998,4,0.603,70,6
Bradley Cooper,6dPTv6lJStWDjdTSaOiNBV,Out Of Time,0.173,0.584,172320,0.915,0.8220000000000001,0,0.8420000000000001,-7.338999999999999,1,0.0579,99.983,4,0.359,70,6
Toby Green,40mYZdW4XYsfVU4D1L3cXx,Check This Out,0.00116,0.602,151020,0.951,0.609,0,0.392,-3.969,1,0.0699,125.005,4,0.345,69,6
